lastName;firstName
Giordano; Paolo
Gladwell; Malcolm
Glaserová; Světlana
Glazarová; Jarmila
Glombíček; Petr
Glucksmann; André
Goethe; Johann Wolfgang
Gogol; Nikolaj Vasiljevič
Gogola; Jan
Goldmann; Lucien
Goldoni; Carlo
Gombrowicz; Witold
Gončarov; Ivan Alexandrovič
Goodkind; Terry
Gorkij; Maxim
Goytisolo; Juan
Gozzi; Carlo
Grabrucker; Marianne
Graeber; David
Graf; Sylvie
Grainger; Paula
Gram; Dewey
Grammont; Edmond De
Gramsci; Antonio
Grange; Jocelyn
Granger; John
Grant; John
Grant; Michael
Grau; Lester
Graves; Robert
Green; John
Green; Jonathan
Greene; Graham
Greenwoodová; Pippa
Gregor; Miloš
Grepl; Miroslav
Gress; Michael
Griffin; Gwyn
Griffith; Tom
Grimm; Jacob
Grimm; Wilhelm
Grisham; John
Grjasnova; Olga
Gromová; Edita
Groom; Winston
Größingová; Sigrid-Maria
Groves; Judy
Grunberg; Arnon
Gruner; Jessica
Grygar; Mojmír
Guilloux; Louis
Gulbranssen; Trygve
Gulia; Georgij
Günther; Rigobert
Guščin; Vadim I.
Gutiérrezová; Luci
Gutsche; Elisa
Haasseová; Hella Serafia
Hadač; Emil
Hadaway; Bridget
Haemmerling; Konrad
Hagara; Ladislav
Hailey; Arthur
Halas; František
Hall; Radclyffe
Haman; Aleš
Hamid; Mohsin
Hamilton; Ian
Hamsun; Knut
Hanc; John
Handke; Peter
Hanišová; Viktorie
Hannah; Kristin
Harari; Yuval Noah
Hardy; Thomas
Harmes; Ross
Harnett; Katie
Harris; Thomas
Harrison; Harry
Hartensteinová; Elisabeth
Hartog; Jan de
Hartwig; Julia
Hartwigová; Julia
Harvey; David
Haskew; Michael
Hašek; Jaroslav
Hauer; Tomáš
Haug; Achim
Hauptmann; Gerhart
Hausenblas; Karel
Hauser; Michael
Havel; Jakub
Havel; Václav
Havlíček; F. X.
Havlíček; Jaroslav
Havlíková; Petra
Havránek; Bohuslav
Hawking; Stephen
Hawthorne; Nathaniel
Hawthorne; Susan
Haydon; Elizabeth
Hayes; Nick
Heczková; Libuše
Hedges; Chris
Heine; Heinrich
Heivoll; Gaute
Hejl; Vilém
Hejlskov; Andrea
Hejná; Olga
Hellens; Franz
Heller; Joseph
Heller; Peter
Hemingway; Ernest
Herben; Jan
Hériat; Philippe
Herman; David
Héródianos;
Herrman; Joachim
Herrmann; Ignát
Herrmannová; Katarína
Hesemann; Michael
Hess; Alexander
Hesse; Hermann
Hesse; María
Hesseová; María
Hewitt; Terry
Heyden; Günther
Heyerdahl; Thor
Hilary; John
Hillerman; Tony
Hillier; Malcolm
Hilton; Colin
Hirschler-Horáková; Nicole
Hitler; Adolf
Hladký; Josef
Hlaváček; Petr
Hlinka; Bohuslav
Hniličková; Ludmila
Hodrová; Daniela
Hoffer; William
Hoffman; Paul
Hoffmeister; Adolf
Hogan; Chuck
Holan; Vladimír
Holappa; Pentti
Holčík; Tomáš
Holdstock; Robert
Holeček; Jaroslav
Holešová; Andrea
Holt; Nathalia
Holtz; Andrew
Holub; Miroslav
Holub; Zbyněk
Holzförster; Heidrun
Homér;
Honzák; Radkin
Honzáková; Marie
Honzík; Miroslav
hooks; bell
Hopkinson; Christopher
Hora; Josef
Horáček; Michal
Horák; Vladimír J.
Horáková; Pavla
Horálek; Jan
Horvat; Srećko
Hořava; Matěj
Hořejší; Jindřich
Hostovský; Egon
Hošek; Radislav
Houdek; František
Houellebecq; Michel
Howard; Michael
Howard; Robert Ervin
Hrabák; Josef
Hrabal; Bohumil
Hrabě; Václav
Hrbek; Mojmír
Hrdlička; Josef
Hrdlička; Milan
Hroch; Miloš
Hroch; Miroslav
Hromek; Petr
Hron; Zdeněk
Hrtánek; Petr
Hrubín; František
Hřebíček; Luděk
Hřebíčková; Martina
Hsiao; Andrew
Hubáček; Jaroslav
Hudec; Ivan
Hugo; Victor
Hull; Edward
Huovinen; Veikko
Huptych; Miroslav
Husa; Václav
Husserl; Edmund
Hutchin; Kenneth C.
Huxley; Aldous
Hval; Jenny
Hvížďala; Karel
Hyde; Maggie
Chabrol; Jean-Pierre
Chaloupka; Otakar
Chalupka; Samo
Chandler; Raymond
Chant; Chris
Charrière; Henri
Chaucer; Geoffrey
Chbosky; Stephen
Chesterton; Gilbet Keith
Chlaňová; Tereza
Chomsky; Noam
Chopin; Kate
Christie; Agatha
Chromý; Jan
Iglesia; Saro de la
Ilek; Bohuslav
Iles; Greg
Irving; John
Isaacson; Walter
Ishiguro; Kazuo
Iuvenalis;
Ivanov; Miroslav
Jaccottet; Philippe
Jackson; Steve
Jacobs; Ingeborg
Jaklová; Alena
Jakobson; Roman
Jakubczak; Marzenna
James; Montague Rhodes
Jamesová; Phyllis Dorothy
Janáček; Pavel
Jančo; Ladislav
Janoušek; Pavel
Jánský; Filip
Janson; Dora Jane
Janson; H. W. 
Jansson; Tove
Jasmin; Claude
Jaspers; Karl
Jauris; Miroslav
Jedlička; Alois
Jedlička; Ivan Milan
Jeffers; Robinson
Jellicoe; Ann
Jeni; Kurt
Jermilov; Vladimir Vladimirovič 
Jerza; Jan
Jesenin; Sergej Alexandrovič
Jestice; Phyllis
Jilemnický; Peter
Jilemnický; Petr
Jílková; Jiřina
Jinoch; Josef
Jirásek; Alois
Jirotka; Zdeněk
Jiroušek; Martin
Jodorowsky; Alejandro
Johanides; Ján
Johnson; Eywind
Johnsonová; Maureen
Jonasson; Jonas
Jonesová; Eirwen
Jordahlová; Jenny
Jordan; David
Jordan; Robert
Jörgensen; Christer
José; Pierre
Josefíková; Eva
Joseluis;
Joyce; James
Joyner;" Florence ""Flo-Jo"" Griffith"
Judt; Tony
Jungk; Robert
Juráňová; Jana
Juríčková; Vilma
Justoň; Zdeněk
Juvin; Hervé
Kadečková; Helena
Kafka; Franz
Kagarlickij; Julij
Kai-Fu Lee;
Kainar; Josef
Kališ; Milan
Kallab; Jaroslav
Kállay; Dušan
Kalmusová; Undine
Kalnická; Zdeňka
Kaluža; Jindřich
Kalužová; Ludmila
Kanda; Roman
Kant; Immanuel
Kaplan; Karel
Kaplická Yakimova; Vera
Kaplický; Václav
Karafiát; Jan
Karaganov; Alexandr Vasiljevič
Karásek; Jiří ze Lvovic
Karfík; Vladimír
Karfíková; Věra
Karlík; Petr
Karnějeva; Ljudmila
Kárníková; Anna
Karnoltová; Libuše
Karsli; Jaroslava
Katastrofé;
Kaucký; Ladislav
Kautman; František
Kavka; Kamil
Kavka; Stanislav J.
Keats; John
Keller; Jan
Kelly; James Patrick
Keneally; Thomas
Kennedy; Ludovic
Kerouac; Jack
Kerrigan; Michael
Kesey; Ken
Kettner; Petr
Keyes; Daniel
Kielland; Alexander Lange
Kierkegaard; Søren
Kilpi; Eeva
King; Stephen
King; Stephen D.
Kipling; Rudyard
Kisch; Egon Ervín
Kissinger; Henry
Kiszka; Bogdan
Klaus; Georg
Klay; Phil
Klein; Zach
Kleinbaum; Nancy Horowitz
Klíma; Arnošt
Klíma; Ivan
Klíma; Ladislav
Klíma; Otakar
Ključarjovová; Natalja
Klostermann; Karel
Klusáková; Jana
Knapman; Timothy
Knappová; Miloslava
Kneidl; Pravoslav
Knittel; John
Kocábová; Natálie
Koestler; Arthur
Kohák; Erazim
Kohout; Pavel
Kolár; Robert
Kolář; Stanislav
Kolejka; Josef
kolektív;
Kollár; D.
Kollár; Jan
Kolle; Oswalt
Komárek; Stanislav
Komenský; Jan Ámos
König; Jakub
Kopáč; Radim
Kopecký; Petr
Kopeček; Lubomír
Kopš; Karel
Kopta; Josef
Korneliussen; Niviaq
Kosák; Michal
Kosatík; Pavel
Kosztolányi; Dezső
Kotrba; Emil
Kotzwinkle; William
Kouba; Petr
Kovalčik; Aleš
Kovalová; Karla
Kovalyk; Uršuľa
Kovářík; Vladimír
Kožík; František
Kožinov; Vadim
Kožmín; Zdeněk
Kraft; Jim
Krakauer; Jon
Kramer; Jane
Kramer; Samuel Noah
Kramoliš; Oldřich
Krásnohorská; Eliška
Krátký; Radovan
Kratochvil; Jiří
Kratochvíl; Miloš Václav
Krauss; Nicole
Krawczuk; Aleksander
Krčmová; Marie
Kremer; Bruno P.
Krchovský; J. H.
Kriseová; Eda
Kristof; Agota
Kromková; Zara
Kroutvor; Josef
Krueger; Váno
Kryl; Karel
Křivánek; Vladimír
Kříženecký; Jaroslav
Křížková; Alena
Kubašta; Vojtěch
Kubát; Miroslav
Kubín; Václav
Kučerová; E.
Kudělka; Viktor
Kueglerová; Sabine
Kufnerová; Zlata
Kuhnová; Helga
Kucharský; Pavel
Kukučín; Martin
Kundera; Milan
Kundra; Ondřej
Kunštát; Daniel
Kuprin; Alexandr
Kuras; Benjamin
Kurson; Robert
Kurylowicz; Jerzy
Kuťáková; Eva
Kuzmová; Alena
Kwok Man-Ho;
Lacan; Jacques
Lacina; Václav
Laclos; Choderlos de
Lada; Josef
Lafferti; R. A.
Lagausie; Justine de
Lagerlöfová; Selma
Laidlaw; Marc
Lamač; Miroslav
Lamartine; Alphonse de
Lambertus; Hendrik
Lamprecht; Arnošt
Lanaganová; Margo
Langer; František
Lao Še;
Laqueur; Walter
Larsen; Reif
Larsson; Stieg
Lass; Andrew
Lastová; Antje
Laurens; Henry
Lavrenev; Boris
Lawrence; David Herbert
Laxness; Halldór Kiljan
Lazarová; Katarína
Lažanský; Jiří
Le Guin; Ursula K.
Le Guinová; Ursula
Leacock; Stephen
Leader; Darian
LeBlanc; David
Lecouteux; Claude
Lee; Gentry
Lee; Harper
Lefeuvre; Ivanka
Lehár; Jan
Lehečková; Hana
Lehnhoff; Joachim
Leibowitz; Ennie
Leikas; Antti
Leitch; Donovan Philip
Leix; Alicja
Lem; Stanisław
Lenin; Vladimir Iljič
Lenin; Vladimír Iljič
Lenz; Siegfried
Leonov; Leonid
Lermontov; Michail Jurjevič
Leroux; Gaston
Leroy; Maurice
Leška; Oldřich
Leško; Marián
Lévi-Strauss; Claude
Levitsky; Steven
Lévy; Bernard-Henri
Levý; Jiří
Levý; Otakar
Lewis; Sinclair
Librová; Hana
Lidin; Vladimír Germanovič
Liehm; Antonín Jaroslav
Liessmann; Konrad Paul
Lilin; Nicolai
Lim; Audrea
Limová; Audrea
Lindgren; Astrid
Lindner; Tomáš
Lindqvist; Sven
Linhartová; Irena
Lipovetsky; Gilles
Lisická; Helena
Liščák; Vladimír
Little; Allan
Liu; Marjorie
Livingstone; Ian
Livius; Titus
Llosa; Mario Vargas
Lloyd; Ian
Lodge; David
Loe; Erlend
London; Jack
London; John
Longfellow; Henry W.
Loon; Borin Van
Lopour; František
Lorca; Frederico García
Louis; Édouard
Loukotková; Jarmila
Lovecraft; Howard Phillips
Lučanský; Milan
Ludwig; Ján
Lueddecke; Lisa
Luhmann; Niklas
Lukács; Georg
Lukavská; Eva
Lukavská; Jaroslava
Lúkianos;
Lunačarskij; Anatolij Vasiljevič
Lundová; Doris
Lunch; Lydia
Lustig; Arnošt
Luther; Arthur
Luxemburg; Rosa
Lyon; David
Maberry; Jonathan
Macek; Josef
MacGuinness; Michael
Macierzyński; Piotr
MacLeod; Ian R.
Madden; David
Maddox; Tom
Maděra; Petr
Mahmoodyová; Betty
Mach; Jakub
Mácha; Karel Hynek
Macháček; Miroslav
Macháčová; Dominika
Machala; Lubomír
Machiavelli; Niccolò
Maiblin; Bill
Mailer; Norman
Mairowitz; David Zane
Majerová; Marie
Majling; Daniel
Malamud; Bernard
Malaparte; Curzio
Maleshkyn; Alexander
Maletzke; Elsemarie
Malevič; Oleg
Malíková; M.O.
Málková; Iva
Mallarmé; Stéphane
Malraux; André
Malura; Jan
Manara; Milo
Maňas; Dalibor
Maňasová; Šárka
Mandel; Emily St. John
Manfredi; Valerio Massimo
Manguel; Alberto
Mann; Heinrich
Mann; Klaus
Mann; Thomas
Manook; Ian
Marco; Jindřich
Marcuse; Peter
Mardoša;
Marek; Václav
Margolin; Phillip
Margolin; Uri
Markandaya; Kamala
Marková Volejníčková; Romana
Márquez; Gabriel García
Marryat; Frederick
Marshall; Tim
Marshová; Ngaio
Martin; Eduard
Martin; George R. R.
Martin; Gerald
Martin; Raphaël
Martin; Robert D.
Martinet; André
Martinson; Moa
Marx; Karl
Marx; Reinhard
Mařík; Vladimír
Masamune; Shirow
Masaryk; Jan
Masaryk; Tomáš Garrigue
Matěj;
Mattaraso; Henri
Matthews; Peter
Maugham; William Somerset
Maupassant; Guy de
Mauriac; François
Maurier; Daphne du
Maurois; André
Mazálek; Vladimír
McCarthy; Cormac
McCleen; Grace
McCloud; Scott
McCullers; Carson
McCullough; Colleen
McDanielová; Lurlene
McEvoy; J.P.
McEwan; Ian
McManers; Hugh
McNab; Chris
McWhirter; Alasdair
Melle; Thomas
Meľnikov; Daniil
Melville; Herman
Menasse; Robert
Menzel; Marianne
Meri; Veijo
Mérimée; Prosper
Merle; Robert
Merle;Robert
Merta; Vladimír
Mertlík; Rudolf
Meyer; Ronald
Mezřický; Václav
Míčko; Miroslav
Middleton; Nick
Miéville; China
Michajlov; A.
Michajlov; Viktor
Miklós; Mészöly
Mikulášek; Oldřich
Milev; Geo
Mill; John Stuart
Miller; Arthur
Miller; Henry
Milne; Alan Alexander
Milton; John
Mináč; Vladimír
Miracleová; Lauren
Misantrop;
Mitana; Dušan
Mitchell; David
Mitchell; Joni
Mitchellová; Margaret
Mlejnek; Josef
Mlynář; Zdeněk
Mňačko; Ladislav
Modotti; Tina
Modré hory;
Mohrig; Werner
Moldan; Bedřich
Molière;
Molina; Antonio
Monteil; Claudine
Montgomeryová; Lucy Maud
Moody; Raymond A.
Moorcook; Michael
Moore; Alan
Moore; John
Moosbrugger; Guido
Moravia; Alberto
More; Thomas
Moreland; John
Morena; Artur
Morgenstern; Erin
Morrison; Toni
Mosse; Kate
Mounk; Yascha
Mowar; Farley
Mrázek; Roman
Mrštík; Alois
Mrštík; Vilém
Müller; Karel
Müller; Richard
Müllerová; Hana
Munroe; Randall
Murakami; Haruki
Murakami; Rjú
Murger; Henri
Murín; Gustáv
Murphy; Pat
Musaios;
Musset; Alfred de
Myslbek; Josef
Nabokov; Vladimir
Nadeau; Maurice
Nádvorníková; Alena
Nafísí; Ázar
Nagy; Ladislav
Nakovski; Atanas
Naldoniová; Lenka
Naso; Publius Ovidius
Navrátil; Jan
Neborová; Hana
Nečasová; Denisa
Nedjalkov; Boris
Neff; Ondřej
Nechvátil; František
Nekrasov; Viktor
Němcová; Božena
Němec; Igor
Němec; Jan
Nenadál; Radoslav
Neruda; Jan
Nesbø; Jo
Ness; Patrick
Neumann; Stanislav
Neumann; Stanislav Kostka
Newitz; Annalee
Nezval; Vítězslav
Niderost; Eric
Nietzsche; Friedrich
Nikkarin;
Nižnánsky; Jožo
Nohavica; Jaromír
Novák; Luděk
Novák; Radomil
Nováková Jíchová; Eva
Nováková; Jitka
Nováková; Teréza
Novotný; Tomáš
Nozick; Robert
Obama; Barack
Obermeier; Siegfried
Obreht; Téa
O'Connell; Mark
O'Connor; Flannery
Ohba; Tsugumi
Okudžava; Bulat Šalvovič
Olbracht; Ivan
Oldie; Henry Lion
Olomoucký; Augustin
O'Neill; Eugene
Onufer; Petr
Opelík; Jiří
Opočenská; Jana
Oreskes; Naomi
Orlandová; Sabrina
Orlová; Jana
Orolin; Michal
Orrell; David
Orten; Jiří
Orwell; George
Osorgin; Mikhail
Ostrovskij; Alexandr Nikolajevič
Ostrovskij; Nikolaj
Osvaldová; Barbora
Otčenáš; Igor
Otčenášek; Jan
Otisk; Marek
Ovidius; Publius Naso
Pácl; Pavel
Pacner; Karel
Palahniuk; Chuck
Palán; Aleš
